level_strict3,locale_simple,academic_year,male_female_ratio,sped_ratio,sed_ratio,data_source,high_sped_disparity,high_gender_disparity,high_sed_disparity
High,Town,2017-18,0.395841223,NA,NA,demographic,NA,TRUE,NA
High,Town,2018-19,0.28573096,NA,NA,demographic,NA,TRUE,NA
High,Town,2019-20,0.33229478435798043,NA,NA,demographic,NA,TRUE,NA
High,Town,2021-22,0.24372195912263211,NA,NA,demographic,NA,TRUE,NA
High,Town,2022-23,0.23501415908606008,NA,NA,demographic,NA,TRUE,NA
High,Town,2023-24,0.27994075327972917,NA,NA,demographic,NA,TRUE,NA
High,Unknown,2017-18,NA,NA,NA,demographic,NA,NA,NA
High,Unknown,2018-19,NA,NA,NA,demographic,NA,NA,NA
High,Unknown,2019-20,NA,NA,NA,demographic,NA,NA,NA
High,Unknown,2021-22,NA,NA,NA,demographic,NA,NA,NA
High,Unknown,2022-23,NA,NA,NA,demographic,NA,NA,NA
Middle,City,2017-18,0.21314467474334645,NA,NA,demographic,NA,TRUE,NA
Middle,City,2018-19,0.2508145354909594,NA,NA,demographic,NA,TRUE,NA
Middle,City,2019-20,0.1983270794246404,NA,NA,demographic,NA,TRUE,NA
Middle,City,2021-22,0.24877643177762152,NA,NA,demographic,NA,TRUE,NA
Middle,City,2022-23,0.22440725435549636,NA,NA,demographic,NA,TRUE,NA
Middle,City,2023-24,0.13738938205247922,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2017-18,0.49018843809909757,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2018-19,0.39258168559809287,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2019-20,0.23351880972541428,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2021-22,0.2193675741276239,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2022-23,0.15050860111363423,NA,NA,demographic,NA,TRUE,NA
Middle,Rural,2023-24,0.18117214786102195,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2017-18,0.27119922572662963,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2018-19,0.28000493910588753,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2019-20,0.11760396896746912,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2021-22,0.2524358000063329,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2022-23,0.17259375617763564,NA,NA,demographic,NA,TRUE,NA
Middle,Suburban,2023-24,0.1924323137736039,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2017-18,0.18410721102650138,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2018-19,0.10869496367333235,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2019-20,0.096769839,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2021-22,0.19116687326467327,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2022-23,0.11866562368629706,NA,NA,demographic,NA,TRUE,NA
Middle,Town,2023-24,0.10160826620363782,NA,NA,demographic,NA,TRUE,NA
Middle,Unknown,2017-18,0.4876930501930502,NA,NA,demographic,NA,TRUE,NA
Middle,Unknown,2018-19,0.633736559,NA,NA,demographic,NA,FALSE,NA
Middle,Unknown,2019-20,1.476923076923077,NA,NA,demographic,NA,FALSE,NA
Middle,Unknown,2021-22,NA,NA,NA,demographic,NA,NA,NA
Other/Unknown,City,2017-18,0.2649293677054319,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,City,2018-19,0.22585516575184172,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,City,2019-20,0.18523716081627445,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,City,2021-22,0.2404789071788202,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,City,2022-23,0.29362674418305795,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,City,2023-24,0.2845604550792451,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2017-18,0.16633720901600998,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2018-19,0.16228700859687356,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2019-20,0.17535359571985543,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2021-22,0.2558382380861971,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2022-23,0.20308900853468131,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Rural,2023-24,0.21743183570477323,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2017-18,0.22827325033453663,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2018-19,0.29878888130574094,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2019-20,0.26972706542388797,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2021-22,0.29102880326317043,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2022-23,0.27077520792847676,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Suburban,2023-24,0.2600314984583501,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2017-18,0.21184331857817076,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2018-19,0.20383608389962637,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2019-20,0.2504633306857294,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2021-22,0.23813212175642048,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2022-23,0.27773752995366907,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Town,2023-24,0.47141079141957687,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Unknown,2017-18,1.4064900662251656,NA,NA,demographic,NA,FALSE,NA
Other/Unknown,Unknown,2018-19,1.814382022,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Unknown,2019-20,0.35885739111545567,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Unknown,2021-22,0,NA,NA,demographic,NA,TRUE,NA
Other/Unknown,Unknown,2022-23,NA,NA,NA,demographic,NA,NA,NA
Other/Unknown,Unknown,2023-24,NA,NA,NA,demographic,NA,NA,NA
Alternative,Unknown,2023-24,NA,NA,NA,demographic,NA,NA,NA
Elementary,Unknown,2022-23,NA,NA,NA,demographic,NA,NA,NA
Middle,Unknown,2022-23,NA,NA,NA,demographic,NA,NA,NA
